arpabet,ipa,timit,vowel,cmudict,wikipedia
aa,ä,aa,1,aa,ah
ae,æ,ae,1,ae,a
ah,ɐ,ah,1,ah,u
ao,ɔ,ao,1,ao,aw
aw,aʊ,aw,1,aw,ow
ax,ə̥,ax-h,1,ah,u
ax,ə,ax,1,ah,u
axr,ə˞,axr,1,er,ur
ay,aɪ,ay,1,ay,y
b,b,b,0,b,b
b,b̚,bcl,0,b,b
ch,t͡ʃ,ch,0,ch,ch
d,d,d,0,d,d
d,d̚,dcl,0,d,d
dh,ð,dh,0,dh,dh
dx,ɾ,dx,0,t,t
eh,ɛ,eh,1,eh,e
el,l̩,el,1,l,l
em,m̩,em,1,m,m
en,n̩,en,1,n,n
ng,ŋ̩,eng,0,ng,ng
-,-,epi,0,,
er,ɜ˞,er,1,er,ur
ey,eɪ,ey,1,ey,ay
f,f,f,0,f,f
g,ɡ,g,0,g,g
g,ɡ̚,gcl,0,g,g
hh,h,hh,0,hh,h
hh,h̥,hv,0,hh,h
ih,ɪ,ih,1,ih,i
ix,ɨ,ix,1,ih,i
iy,i,iy,1,iy,ee
jh,d͡ʒ,jh,0,jh,j
k,k,k,0,k,k
k,k̚,kcl,0,k,k
l,l,l,0,l,l
m,m,m,0,m,m
n,n,n,0,n,n
ng,ŋ,ng,0,ng,ng
nx,ɾ,nx,0,n,n
ow,oʊ,ow,1,ow,oh
oy,ɔɪ,oy,1,oy,oy
p,p,p,0,p,p
--,--,pau,0,,
p,p̚,pcl,0,p,p
q,ʔ,q,0,,
r,ɹ,r,0,r,r
s,s,s,0,s,s
sh,ʃ,sh,0,sh,sh
t,t,t,0,t,t
t,t̚,tcl,0,t,t
th,θ,th,0,th,th
uh,ʊ,uh,1,uh,uu
uw,u,uw,1,uw,oo
ux,ʉ,ux,1,uw,oo
v,v,v,0,v,v
w,w,w,0,w,w
y,j,y,0,y,y
z,z,z,0,z,z
zh,ʒ,zh,0,zh,zh
